DSSSB SET 1 : Q1,1. In teaching experienced members guide the immature one’s for,(a) Spending time,(b) Qualification,(c) Quality of life,(d) Adjustment of life,Answer is = d
DSSSB SET 1 : Q2,2. Which is not the focal point of triangular process of teaching,(a) Teaching method,(b) Teacher,(c) Pupil,(d) contents,Answer is = a
DSSSB SET 1 : Q3,3. The goal of teaching is,(a) to give information,(b) To involve pupils in activities,(c) To impart knowledge,(d) Desirable change in behavior,Answer is = d
DSSSB SET 1 : Q4,4. The rules of presenting the contents to make them easy are called,(a) Method of teaching,(b) Maxims of teaching,(c) Techniques of teaching,(d) Teaching strategies,Answer is = b
DSSSB SET 1 : Q5,5. SOLO stands for,(a) System of the observed learning outcome,(b) structure of the observed learingn output,(c) Structure of the observed learning outcome,(d) System of the observed learning output,Answer is = c
DSSSB SET 1 : Q6,6. SOLO taxonomy consists of levels,(a) 2,(b) 3,(c) 4,(d) 5,Answer is = c
DSSSB SET 1 : Q7,7. With reference to solo taxonomy one aspect of a task is understood in,(a) Unistructural level,(b) Multistructural level,(c)Rational level,(d) Extended abstract level,Answer is = a
DSSSB SET 1 : Q8,8. Two or more aspects are understood in,(a) Unistructural lever,(b) Multistructural level,(c)Rational level,(d) Extended abstract level,Answer is = b
DSSSB SET 1 : Q9,9. Integration is developed between two or more Aspects in,(a) Unistructural level,(b) Multistructural level,(c)Rational level,(d) Extended abstract level,Answer is = c
DSSSB SET 1 : Q10,10. To go beyond the given in formation is,(a) Unistructural level,(b) Multistructural level,(c)Rational level,(d) Extended abstract level,Answer is = d
DSSSB SET 1 : Q11,11. SOLO taxonomy was presented by,(a) Bloom,(b) Krath whol,(c)Simpson,(d) Biggs &amp; collis,Answer is = d
DSSSB SET 1 : Q12,12. Students are passive in,(a) Project method,(b) Discovery method,(c)Lecture method,(d) Inquiry method,Answer is = c
DSSSB SET 1 : Q13,13. Symposium is a type of,(a) Discovery method,(b) Discussion method,(c)Lecture method,(d) Demonstration method,Answer is = b
DSSSB SET 1 : Q14,14. Heuristic means,(a) To investigate,(b) To show,(c)To do,(d) To act,Answer is = a
DSSSB SET 1 : Q15,15. Arm strong was the exponent of,(a) Problem solving method,(b) Project method,(c)Discussion method,(d) Heuristic method,Answer is = d
DSSSB SET 1 : Q16,"16. According to Kilpatrick, the types of projects are",(a) 2,(b) 3,(c)5,(d) 5,Answer is = c
DSSSB SET 1 : Q17,17. Activity involves,(a) Physical action,(b) Mental action,(c)Mental action,(d) Physical and mental action,Answer is = d
DSSSB SET 1 : Q18,18. We move from specific to general in,(a) Inductive method,(b) Deductive method,(c)Drill method,(d) Discussion method,Answer is = a
DSSSB SET 1 : Q19,19. Practice is made in,(a) Inductive method,(b) Deductive method,(c)Drill method,(d) Discussion method,Answer is = c
DSSSB SET 1 : Q20,20. The Socratic method is known as,(a) Lecture demonstration method,(b) Discussion method,(c)Inquiry method,(d) Question- Answer method,Answer is = d
DSSSB SET 1 : Q21,21. Which is not true about projects,(a) It is a purposeful activity,(b) It is proceeded in social environment,(c)It is accomplished in real life,(d) It is teacher centred activity,Answer is = d
DSSSB SET 1 : Q22,22. Duration of lessons in macro- lesson plans is,(a) 5-10 min,(b) 10-20 min,(c)20-30 min,(d) 35-45 min,Answer is = d
DSSSB SET 1 : Q23,"23. In British approach of lesson planning, more emphasis is on",(a) Activity,(b) Teacher,(c)Content presentation,(d) Teacher and content presentation,Answer is = d
DSSSB SET 1 : Q24,24. American approach emphasizes,(a) Teacher,(b) Content presentation,(c)Learning objectives,(d) Methods,Answer is = c
DSSSB SET 1 : Q25,25. Which one is not the type of lesson plans on the basis of objectives,(a) Micro lesson plan,(b) Cognitive lesson plan,(c)Affective lesson plan,(d) Psychomotor lesson paln,Answer is = a
DSSSB SET 1 : Q26,26. Which is not true about lesson plan,(a) It is develops confidence,(b) It helps in oderly delivny of contents,(c)It is developed by students,(d) It saves from haphazard teaching,Answer is = c
DSSSB SET 1 : Q27,27. A good drama does not include,(a) Interesting story,(b) Alive dialogues,(c)Very long play,(d) Subject full of feelings,Answer is = c
DSSSB SET 1 : Q28,28. Which is not the objective of Drama/ role play,(a) Recreation and enjoyment,(b) Development of social skills,(c)Development of skills of conversation,(d) Do make rehearsals,Answer is = d
DSSSB SET 1 : Q29,29. Drama or role play is useful for teaching,(a) History,(b) Science,(c)Malts,(d) Language,Answer is = a
DSSSB SET 1 : Q30,30. The main types of teleconferencing identified are,(a) 2,(b) 3,(c) 4,(d) 5,Answer is = b
